provider,engine,sampler,n_for_train,seed,dataset,accuracy,precision,recall,f1
anthropic,claude-3-haiku-20240307,random,4,36,data/ORD_R_text.csv,0.51,0.4931506849315068,0.75,0.5950413223140496
anthropic,claude-3-haiku-20240307,random,4,42,data/ORD_R_text.csv,0.5,0.4891304347826087,0.9375,0.6428571428571429
anthropic,claude-3-haiku-20240307,random,4,84,data/ORD_R_text.csv,0.59,0.6,0.4375,0.5060240963855421
anthropic,claude-3-haiku-20240307,random,4,200,data/ORD_R_text.csv,0.5,0.4821428571428571,0.5625,0.5192307692307693
anthropic,claude-3-haiku-20240307,random,4,12345,data/ORD_R_text.csv,0.54,0.5217391304347826,0.5,0.5106382978723404
anthropic,claude-3-haiku-20240307,random,6,36,data/ORD_R_text.csv,0.54,0.5172413793103449,0.625,0.5660377358490566
anthropic,claude-3-haiku-20240307,random,8,12345,data/ORD_R_text.csv,0.52,0.5,0.9583333333333334,0.6571428571428571
anthropic,claude-3-haiku-20240307,random,6,42,data/ORD_R_text.csv,0.52,0.5,0.8541666666666666,0.6307692307692307
anthropic,claude-3-haiku-20240307,random,6,84,data/ORD_R_text.csv,0.48,0.4729729729729729,0.7291666666666666,0.5737704918032787
anthropic,claude-3-haiku-20240307,random,6,200,data/ORD_R_text.csv,0.49,0.4754098360655737,0.6041666666666666,0.5321100917431193
anthropic,claude-3-haiku-20240307,random,6,12345,data/ORD_R_text.csv,0.48,0.4714285714285714,0.6875,0.559322033898305
anthropic,claude-3-haiku-20240307,random,8,36,data/ORD_R_text.csv,0.51,0.4909090909090909,0.5625,0.5242718446601942
anthropic,claude-3-haiku-20240307,random,8,42,data/ORD_R_text.csv,0.49,0.4819277108433735,0.8333333333333334,0.6106870229007634
anthropic,claude-3-haiku-20240307,random,8,84,data/ORD_R_text.csv,0.56,0.524390243902439,0.8958333333333334,0.6615384615384615
anthropic,claude-3-haiku-20240307,random,8,200,data/ORD_R_text.csv,0.63,0.72,0.375,0.4931506849315068
mistral,mistral-small-latest,random,6,36,data/ORD_R_text.csv,0.58,0.6,0.375,0.4615384615384615
mistral,mistral-small-latest,random,6,42,data/ORD_R_text.csv,0.54,0.5294117647058824,0.375,0.4390243902439024
mistral,mistral-small-latest,random,6,84,data/ORD_R_text.csv,0.47,0.4545454545454545,0.5208333333333334,0.4854368932038835
mistral,mistral-small-latest,random,6,200,data/ORD_R_text.csv,0.56,0.5714285714285714,0.3333333333333333,0.4210526315789473
mistral,mistral-small-latest,random,6,12345,data/ORD_R_text.csv,0.51,0.4897959183673469,0.5,0.4948453608247423
mistral,mistral-small-latest,random,4,36,data/ORD_R_text.csv,0.52,0.5,0.5208333333333334,0.5102040816326531
mistral,mistral-small-latest,random,4,42,data/ORD_R_text.csv,0.54,0.5161290322580645,0.6666666666666666,0.5818181818181818
mistral,mistral-small-latest,random,4,84,data/ORD_R_text.csv,0.49,0.4680851063829787,0.4583333333333333,0.4631578947368421
mistral,mistral-small-latest,random,4,200,data/ORD_R_text.csv,0.53,0.5142857142857142,0.375,0.4337349397590361
mistral,mistral-small-latest,random,4,12345,data/ORD_R_text.csv,0.48,0.4666666666666667,0.5833333333333334,0.5185185185185185
mistral,mistral-small-latest,random,8,36,data/ORD_R_text.csv,0.56,0.6,0.25,0.3529411764705882
mistral,mistral-small-latest,random,8,42,data/ORD_R_text.csv,0.5,0.4791666666666667,0.4791666666666667,0.4791666666666667
mistral,mistral-small-latest,random,8,84,data/ORD_R_text.csv,0.51,0.4893617021276595,0.4791666666666667,0.4842105263157895
mistral,mistral-small-latest,random,8,200,data/ORD_R_text.csv,0.53,0.5116279069767442,0.4583333333333333,0.4835164835164835
mistral,mistral-small-latest,random,8,12345,data/ORD_R_text.csv,0.49,0.4782608695652174,0.6875,0.5641025641025641
mistral,mistral-large-latest,random,4,36,data/ORD_R_text.csv,0.53,0.5116279069767442,0.4583333333333333,0.4835164835164835
mistral,mistral-large-latest,random,4,42,data/ORD_R_text.csv,0.48,0.4666666666666667,0.5833333333333334,0.5185185185185185
mistral,mistral-large-latest,random,4,84,data/ORD_R_text.csv,0.57,0.6190476190476191,0.2708333333333333,0.3768115942028985
mistral,mistral-large-latest,random,4,200,data/ORD_R_text.csv,0.57,0.6086956521739131,0.2916666666666667,0.3943661971830985
mistral,mistral-large-latest,random,4,12345,data/ORD_R_text.csv,0.47,0.4561403508771929,0.5416666666666666,0.4952380952380952
mistral,mistral-large-latest,random,6,36,data/ORD_R_text.csv,0.54,0.5416666666666666,0.2708333333333333,0.3611111111111111
mistral,mistral-large-latest,random,6,42,data/ORD_R_text.csv,0.53,0.5121951219512195,0.4375,0.4719101123595505
mistral,mistral-large-latest,random,6,84,data/ORD_R_text.csv,0.56,0.5434782608695652,0.5208333333333334,0.5319148936170213
mistral,mistral-large-latest,random,6,200,data/ORD_R_text.csv,0.58,0.6363636363636364,0.2916666666666667,0.4
mistral,mistral-large-latest,random,6,12345,data/ORD_R_text.csv,0.51,0.4893617021276595,0.4791666666666667,0.4842105263157895
mistral,mistral-large-latest,random,8,36,data/ORD_R_text.csv,0.55,0.6666666666666666,0.125,0.2105263157894736
mistral,mistral-large-latest,random,8,42,data/ORD_R_text.csv,0.51,0.492063492063492,0.6458333333333334,0.5585585585585585
mistral,mistral-large-latest,random,8,84,data/ORD_R_text.csv,0.57,0.5581395348837209,0.5,0.5274725274725275
mistral,mistral-large-latest,random,8,200,data/ORD_R_text.csv,0.55,0.5365853658536586,0.4583333333333333,0.4943820224719101
mistral,mistral-large-latest,random,8,12345,data/ORD_R_text.csv,0.47,0.4603174603174603,0.6041666666666666,0.5225225225225225
